scene,listener,system,HASPI
S08510,L0239,E001,"[0.19109120762371382, 0.04711444657373137]"
S08529,L0216,E001,"[0.46317104964708333, 0.7071640868391521]"
S08532,L0242,E001,"[0.00652252643794865, 0.012402415990254023]"
S08537,L0229,E001,"[0.05333987738924903, 0.2975856946566351]"
S08537,L0242,E001,"[0.07661245645070132, 0.10747204763440568]"
S08540,L0206,E001,"[0.015976530592756548, 0.004286531080770153]"
S08540,L0212,E001,"[0.014062871877263123, 0.15552041811375114]"
S08554,L0218,E001,"[0.9569176171379468, 0.8378567009904588]"
S08554,L0221,E001,"[0.9654935069071514, 0.9176962121809034]"
S08555,L0216,E001,"[0.8116394952370681, 0.5097108631964997]"
S08558,L0227,E001,"[0.00419620998391682, 0.10964922623512736]"
S08561,L0239,E001,"[0.07024841498290409, 0.021056135416468023]"
S08566,L0218,E001,"[0.06354771376985754, 0.12763161690970865]"
S08574,L0206,E001,"[0.2988867576690896, 0.00848052466778327]"
S08574,L0212,E001,"[0.24709134006720965, 0.25356646252194026]"
S08575,L0240,E001,"[0.8369496906171304, 0.9386368984434486]"
S08576,L0229,E001,"[0.9014806348243962, 0.5715419165854873]"
S08578,L0224,E001,"[0.04474042299834349, 0.15419157650416856]"
S08579,L0219,E001,"[0.004928625434612793, 0.8364438080239163]"
S08579,L0225,E001,"[0.9593669883686423, 0.8179825364134243]"
S08582,L0215,E001,"[0.7120525453977882, 0.6676650978734603]"
S08594,L0225,E001,"[0.7029174179786533, 0.43606685317578125]"
S08594,L0231,E001,"[0.4479374487927071, 0.471606227984916]"
S08600,L0227,E001,"[0.015752484925452115, 0.6762942701907607]"
S08606,L0224,E001,"[0.5629369335027702, 0.7256132703370015]"
S08614,L0218,E001,"[0.8033057051431948, 0.9595550107059008]"
S08625,L0200,E001,"[0.4221324190470516, 0.14473474214313853]"
S08627,L0219,E001,"[0.08849340397984355, 0.41155379000410724]"
S08628,L0243,E001,"[0.6729451230298595, 0.452536717340123]"
S08636,L0243,E001,"[0.8301357657068713, 0.9445881192661562]"
S08637,L0222,E001,"[0.618839289395562, 0.7467215108764234]"
S08644,L0219,E001,"[0.026868073968791123, 0.6663276432237873]"
S08644,L0225,E001,"[0.6974349415710701, 0.7080280855345098]"
S08645,L0240,E001,"[0.9907554360931591, 0.8339198168187123]"
S08651,L0215,E001,"[0.7996690895016343, 0.6428263601421551]"
S08652,L0219,E001,"[0.00388187287037997, 0.024565738614211866]"
S08653,L0231,E001,"[0.3315921950868499, 0.40196642499387447]"
S08658,L0239,E001,"[0.060868896781832195, 0.022654562836036733]"
S08660,L0231,E001,"[0.9666741130216199, 0.917972947252163]"
S08682,L0217,E001,"[0.04523701109118826, 0.00520900304690669]"
S08683,L0224,E001,"[0.04275768885689324, 0.06791249103695755]"
S08685,L0240,E001,"[0.008219931312288669, 0.30752605081325063]"
S08686,L0239,E001,"[0.3156710037805325, 0.06622684339408243]"
S08689,L0239,E001,"[0.6762758214637129, 0.5583515678888743]"
S08690,L0227,E001,"[0.0049095208408347244, 0.9887336348822431]"
S08702,L0201,E001,"[0.19617584188496226, 0.02136836701962676]"
S08703,L0229,E001,"[0.5162181983322459, 0.6235806680171166]"
S08707,L0215,E001,"[0.16724475388027335, 0.1841000450917519]"
S08710,L0243,E001,"[0.33119198689362506, 0.2751179444707211]"
S08723,L0201,E001,"[0.5131611514713476, 0.9683578035966043]"
S08725,L0217,E001,"[0.8861075134200386, 0.004673659724230861]"
S08727,L0224,E001,"[0.10459904445643559, 0.10727313905818987]"
S08732,L0200,E001,"[0.1197315981610843, 0.041482094697202744]"
S08732,L0240,E001,"[0.4447435950356039, 0.12057970513614107]"
S08739,L0236,E001,"[0.05052325183285684, 0.14950100686267667]"
S08742,L0229,E001,"[0.9619887499745495, 0.9673621514110913]"
S08743,L0222,E001,"[0.9962882179420833, 0.9808350886941187]"
S08745,L0218,E001,"[0.7004828547653789, 0.808150879018163]"
S08745,L0221,E001,"[0.8250401064123796, 0.6401374123898246]"
S08750,L0222,E001,"[0.356672978442641, 0.21182277573743172]"
S08751,L0229,E001,"[0.3289311604152406, 0.30815761709896283]"
S08752,L0209,E001,"[0.05346566519296677, 0.29278158966408824]"
S08753,L0219,E001,"[0.005323028757881632, 0.1330297716764687]"
S08753,L0225,E001,"[0.1201404797675994, 0.17442867083062433]"
S08759,L0216,E001,"[0.07029321110552104, 0.15705510941360495]"
S08765,L0201,E001,"[0.9734855554230785, 0.9918143444601658]"
S08766,L0201,E001,"[0.6894647349316122, 0.3783033910109308]"
S08767,L0206,E001,"[0.11043515199749833, 0.0039830012912532055]"
S08778,L0212,E001,"[0.6198199425244526, 0.5274012323309168]"
S08778,L0221,E001,"[0.45280995438871385, 0.5352727850712546]"
S08779,L0212,E001,"[0.8238580438086192, 0.44584586550121463]"
S08779,L0221,E001,"[0.825930066037009, 0.24977539095534895]"
S08780,L0206,E001,"[0.9576167320995458, 0.011475123845205427]"
