scene,listener,system,predicted
S09637,L0240,E013,70.80754089355469
S08636,L0218,E013,69.77615356445312
S08575,L0236,E013,80.55146789550781
S08614,L0239,E013,83.86500549316406
S09262,L0209,E013,82.17076873779297
S09436,L0216,E013,70.72996520996094
S09436,L0202,E013,70.76129913330078
S09142,L0218,E013,69.76189422607422
S08759,L0229,E013,67.9071273803711
S09704,L0200,E013,76.96403503417969
S09040,L0235,E013,71.29854583740234
S09380,L0201,E013,70.68836212158203
S09455,L0215,E013,69.27460479736328
S09281,L0224,E013,77.02243041992188
S09581,L0201,E013,83.5720443725586
S09248,L0225,E013,80.4952621459961
S09248,L0231,E013,85.15171813964844
S09532,L0201,E013,70.67316436767578
S09564,L0217,E013,69.25652313232422
S08540,L0222,E013,74.88395690917969
S09894,L0236,E013,87.35382843017578
S08606,L0217,E013,87.57832336425781
S08751,L0224,E013,70.82368469238281
S08798,L0224,E013,70.92764282226562
S08653,L0235,E013,66.21490478515625
S09450,L0227,E013,73.2561264038086
S08998,L0217,E013,86.94237518310547
S08660,L0227,E013,70.94648742675781
S09463,L0209,E013,69.35223388671875
S09856,L0224,E013,83.06137084960938
S09811,L0229,E013,68.54389953613281
S08752,L0206,E013,85.96590423583984
S09509,L0235,E013,70.97628021240234
S09793,L0231,E013,66.81010437011719
S08579,L0241,E013,74.91641235351562
S08800,L0221,E013,69.19586944580078
S09569,L0202,E013,73.30941772460938
S09951,L0206,E013,70.73834228515625
S08781,L0231,E013,67.94570922851562
S08781,L0225,E013,67.50094604492188
S08625,L0243,E013,67.300537109375
S09034,L0229,E013,84.8512191772461
S09904,L0231,E013,77.33024597167969
S08905,L0241,E013,70.70304107666016
S09961,L0235,E013,66.40242004394531
S09214,L0243,E013,67.52141571044922
S08555,L0242,E013,88.40341186523438
S09018,L0216,E013,87.38127899169922
S09770,L0221,E013,70.87718963623047
S08969,L0216,E013,70.44552612304688
S09282,L0206,E013,74.78567504882812
S09282,L0212,E013,72.67227935791016
S08969,L0202,E013,69.22486877441406
S09181,L0241,E013,75.63243865966797
S08862,L0240,E013,72.3485336303711
S08739,L0220,E013,70.99144744873047
S09830,L0201,E013,69.4587173461914
S09460,L0216,E013,73.70308685302734
S09460,L0202,E013,70.1416244506836
S09833,L0235,E013,71.39486694335938
S08686,L0206,E013,84.12124633789062
S09067,L0225,E013,70.80787658691406
S08627,L0215,E013,74.09426879882812
S09158,L0239,E013,80.18356323242188
S09067,L0219,E013,70.72666931152344
S08973,L0225,E013,74.17118835449219
S09573,L0224,E013,86.521484375
S09228,L0215,E013,70.974609375
S08899,L0209,E013,72.50421142578125
S09363,L0202,E013,72.109130859375
S09945,L0217,E013,83.37431335449219
S08685,L0236,E013,84.8109130859375
S09314,L0229,E013,70.64694213867188
S08725,L0200,E013,69.21638488769531
S09877,L0220,E013,68.72056579589844
S08853,L0215,E013,87.55685424804688
S08713,L0209,E013,80.57571411132812
S08800,L0218,E013,74.32682800292969
S09264,L0208,E013,70.92616271972656
S09040,L0227,E013,81.9918212890625
S09188,L0216,E013,68.17713165283203
S09193,L0242,E013,76.08540344238281
S09231,L0202,E013,74.86227416992188
S09606,L0217,E013,85.16362762451172
S08600,L0202,E013,70.85227966308594
S08794,L0242,E013,73.4911117553711
S09827,L0224,E013,74.91326141357422
S09426,L0241,E013,79.88675689697266
S09321,L0229,E013,80.18915557861328
S09264,L0209,E013,70.89764404296875
S09770,L0218,E013,70.74706268310547
S08952,L0231,E013,70.86942291259766
S09308,L0218,E013,69.42119598388672
S09515,L0229,E013,70.17765045166016
S09913,L0200,E013,85.03214263916016
S09625,L0240,E013,75.41805267333984
S08653,L0227,E013,69.8341064453125
S09450,L0235,E013,67.49774169921875
S09666,L0235,E013,70.88610076904297
S09574,L0241,E013,72.01858520507812
S08899,L0208,E013,70.15096282958984
S09338,L0202,E013,73.90087890625
S08660,L0235,E013,70.96678161621094
S08546,L0209,E013,80.1155776977539
S08636,L0221,E013,67.97227478027344
S09317,L0236,E013,86.26974487304688
S09767,L0212,E013,70.92276763916016
S08961,L0221,E013,67.52313232421875
S09844,L0231,E013,69.9081039428711
S09509,L0227,E013,70.92540740966797
S09082,L0208,E013,80.69994354248047
S09857,L0241,E013,88.7383804321289
S09627,L0215,E013,70.97024536132812
S09593,L0216,E013,72.57211303710938
S09593,L0202,E013,70.89515686035156
S09259,L0212,E013,70.87676239013672
S09259,L0206,E013,72.95301818847656
S09377,L0229,E013,73.8156509399414
S09707,L0225,E013,70.04864501953125
S09707,L0219,E013,74.20751953125
S09245,L0222,E013,70.7015609741211
S09101,L0240,E013,69.56101989746094
S09073,L0236,E013,79.8781509399414
S09480,L0221,E013,72.85590362548828
S09641,L0224,E013,82.84435272216797
S08732,L0236,E013,70.78012084960938
S09961,L0227,E013,67.64726257324219
S09860,L0216,E013,73.48567199707031
S09246,L0217,E013,67.67222595214844
S08807,L0242,E013,75.98023986816406
S09061,L0218,E013,88.85382080078125
S09777,L0243,E013,70.76256561279297
S09136,L0217,E013,70.82655334472656
S08901,L0217,E013,70.35318756103516
S09156,L0220,E013,76.94520568847656
S09069,L0200,E013,84.72957611083984
S09397,L0219,E013,70.76719665527344
S09803,L0201,E013,69.65316772460938
S09082,L0209,E013,86.36905670166016
S08795,L0236,E013,75.23954772949219
S09790,L0202,E013,79.01370239257812
S09790,L0216,E013,83.07174682617188
S09488,L0239,E013,87.65382385253906
S08939,L0201,E013,70.7419204711914
S09589,L0208,E013,69.34979248046875
S08869,L0219,E013,70.13447570800781
S09615,L0202,E013,80.59027099609375
S08690,L0224,E013,84.18174743652344
S08875,L0201,E013,70.88628387451172
S09277,L0221,E013,67.97172546386719
S09280,L0218,E013,70.27195739746094
S09476,L0208,E013,75.1826400756836
S09255,L0200,E013,77.22089385986328
S09857,L0227,E013,88.22990417480469
S09780,L0209,E013,70.91709899902344
S09922,L0235,E013,67.11236572265625
S08574,L0222,E013,76.81730651855469
S08735,L0209,E013,79.4875717163086
S09396,L0235,E013,73.14685821533203
S09977,L0202,E013,70.63642120361328
S09553,L0236,E013,71.14698791503906
S09977,L0216,E013,70.69865417480469
S09831,L0202,E013,68.92585754394531
S09831,L0216,E013,70.34140014648438
S09276,L0243,E013,74.1437759399414
S09586,L0206,E013,86.01533508300781
S09288,L0229,E013,70.854248046875
S09030,L0218,E013,70.16409301757812
S08765,L0225,E013,68.36540985107422
S08590,L0242,E013,84.50804138183594
S08820,L0222,E013,84.20564270019531
S08765,L0219,E013,72.0422592163086
S09476,L0209,E013,80.3340835571289
S08911,L0221,E013,70.86188507080078
S09500,L0239,E013,69.48712921142578
S09862,L0225,E013,69.54609680175781
S09862,L0219,E013,73.89772033691406
S09086,L0215,E013,70.30384826660156
S09088,L0222,E013,79.13491821289062
S09812,L0242,E013,70.9424819946289
S09459,L0215,E013,71.50640869140625
S09577,L0206,E013,71.96342468261719
S09094,L0206,E013,82.23323822021484
S09398,L0201,E013,83.76568603515625
S08929,L0221,E013,70.88517761230469
S09529,L0208,E013,67.82725524902344
S08931,L0240,E013,68.41507720947266
S09903,L0222,E013,87.53919982910156
S09426,L0227,E013,76.00112915039062
S09646,L0225,E013,76.84483337402344
S08785,L0217,E013,71.078857421875
S09646,L0231,E013,79.7952880859375
S09078,L0242,E013,71.05696105957031
S08890,L0229,E013,67.15010070800781
S09574,L0227,E013,70.70417785644531
S09828,L0202,E013,72.26764678955078
S09828,L0216,E013,74.45292663574219
S09655,L0241,E013,84.23419952392578
S09265,L0218,E013,70.81796264648438
S09884,L0216,E013,73.55589294433594
S09339,L0217,E013,71.96991729736328
S08929,L0218,E013,70.73374938964844
S09893,L0236,E013,81.23947143554688
S08742,L0224,E013,84.0275650024414
S09922,L0227,E013,69.07740020751953
S09065,L0201,E013,70.78376770019531
S09952,L0241,E013,69.86997985839844
S09208,L0201,E013,73.65614318847656
S08905,L0227,E013,70.62532043457031
S09765,L0224,E013,81.65821838378906
S09451,L0235,E013,67.53397369384766
S09154,L0217,E013,70.96843719482422
S08935,L0229,E013,67.44490814208984
S09911,L0220,E013,69.57556915283203
S09029,L0221,E013,72.10520935058594
S09776,L0240,E013,85.53553009033203
S09446,L0201,E013,70.77631378173828
S09332,L0212,E013,69.34031677246094
S08529,L0235,E013,68.76212310791016
S09714,L0222,E013,78.89572143554688
S09277,L0218,E013,69.48665618896484
S08508,L0220,E013,76.77865600585938
S09971,L0215,E013,70.70846557617188
S09280,L0221,E013,67.4906997680664
S09448,L0220,E013,70.4857177734375
S09628,L0222,E013,73.12618255615234
S09846,L0239,E013,87.90018463134766
S09250,L0222,E013,83.19446563720703
S09715,L0241,E013,70.87417602539062
S08809,L0217,E013,69.49500274658203
S08844,L0241,E013,77.92972564697266
S08818,L0224,E013,85.4254150390625
S09502,L0240,E013,73.14215087890625
S08566,L0208,E013,70.71559143066406
S08628,L0218,E013,68.6589126586914
S09271,L0222,E013,69.69677734375
S09928,L0242,E013,89.47058868408203
S08895,L0220,E013,73.78179931640625
S09049,L0201,E013,70.72478485107422
S09080,L0229,E013,69.2913589477539
S09673,L0236,E013,82.33391571044922
S09161,L0229,E013,68.32308959960938
S08780,L0222,E013,87.74759674072266
S09274,L0208,E013,70.76600646972656
S08766,L0231,E013,69.55278778076172
S08766,L0225,E013,68.61886596679688
S09684,L0202,E013,74.42253875732422
S09634,L0236,E013,82.55355072021484
S09128,L0236,E013,70.98548889160156
S09866,L0243,E013,70.81352996826172
S08862,L0200,E013,84.7656478881836
S09288,L0235,E013,70.94270324707031
S08652,L0215,E013,69.91903686523438
S08689,L0206,E013,73.4476547241211
S09387,L0227,E013,68.67599487304688
S09297,L0224,E013,76.83991241455078
S08566,L0239,E013,70.72451782226562
S09396,L0229,E013,80.26152801513672
S09571,L0222,E013,70.98162078857422
S09092,L0236,E013,69.15940856933594
S09681,L0224,E013,73.12334442138672
S08759,L0242,E013,75.57581329345703
S09846,L0208,E013,78.26529693603516
S08722,L0209,E013,80.43804931640625
S08949,L0235,E013,75.0356216430664
S09107,L0201,E013,70.6543960571289
S09029,L0212,E013,77.58307647705078
S09870,L0229,E013,68.84083557128906
S08836,L0240,E013,68.92753601074219
S09332,L0221,E013,67.70282745361328
S09274,L0209,E013,70.69795227050781
S09935,L0209,E013,82.52159881591797
S08594,L0227,E013,82.5802001953125
S09626,L0218,E013,70.82673645019531
S08645,L0236,E013,69.83720397949219
S09071,L0231,E013,71.22193908691406
S08779,L0222,E013,80.76666259765625
S09616,L0200,E013,81.00489044189453
S09613,L0227,E013,70.9223403930664
S08644,L0241,E013,67.6873550415039
S08889,L0236,E013,77.4274673461914
S09669,L0227,E013,81.5678482055664
S08555,L0229,E013,76.80755615234375
S08837,L0221,E013,79.74180603027344
S09011,L0206,E013,70.86946105957031
S09011,L0212,E013,70.87286376953125
S09733,L0217,E013,75.48652648925781
S08558,L0202,E013,70.89747619628906
S09000,L0209,E013,77.55585479736328
S08843,L0216,E013,76.64122772216797
S09452,L0225,E013,70.88976287841797
S09034,L0242,E013,89.81626892089844
S09452,L0231,E013,70.8573226928711
S08891,L0243,E013,67.99638366699219
S08950,L0235,E013,64.9151382446289
S09325,L0216,E013,81.69170379638672
S08682,L0200,E013,74.64494323730469
S08983,L0202,E013,70.8238754272461
S08791,L0236,E013,68.77848815917969
S09346,L0215,E013,79.1155014038086
S09670,L0225,E013,76.45954895019531
S09908,L0217,E013,78.52815246582031
S09203,L0219,E013,70.77336883544922
S09580,L0227,E013,68.42544555664062
S09345,L0231,E013,69.54634857177734
S09515,L0242,E013,79.94451904296875
S09069,L0240,E013,72.93165588378906
S08816,L0231,E013,82.02172088623047
S09451,L0229,E013,70.53457641601562
S08794,L0229,E013,69.04521942138672
S09175,L0236,E013,87.80084991455078
S08837,L0218,E013,88.27408599853516
S09321,L0242,E013,89.94500732421875
S08512,L0209,E013,70.79486083984375
S09227,L0202,E013,69.5830078125
S09101,L0200,E013,73.6193618774414
S09227,L0216,E013,71.31707763671875
S09470,L0201,E013,80.93352508544922
S09193,L0229,E013,67.75958251953125
S08887,L0239,E013,77.12409973144531
S09529,L0239,E013,70.6494369506836
S09689,L0206,E013,74.79257202148438
S09689,L0212,E013,72.59988403320312
S09717,L0209,E013,70.79725646972656
S08949,L0227,E013,88.10755920410156
S09861,L0220,E013,66.71197509765625
S09140,L0222,E013,70.75392150878906
S08903,L0215,E013,84.04615020751953
S09402,L0225,E013,79.28267669677734
S09402,L0231,E013,83.67230987548828
S09753,L0218,E013,70.91287231445312
S09500,L0208,E013,67.32470703125
S09382,L0239,E013,71.53419494628906
S08703,L0224,E013,73.6431884765625
S08532,L0240,E013,73.50116729736328
S09625,L0200,E013,86.50786590576172
S09209,L0241,E013,85.48323059082031
S09386,L0241,E013,70.91734313964844
S09080,L0235,E013,67.80262756347656
S09362,L0220,E013,69.68019104003906
S08883,L0243,E013,69.98667907714844
S09205,L0209,E013,73.71939086914062
S09678,L0212,E013,77.98705291748047
S09164,L0206,E013,70.99248504638672
S09678,L0206,E013,80.28491973876953
S08750,L0215,E013,70.22750854492188
S08616,L0201,E013,71.1892318725586
S08651,L0231,E013,79.26457977294922
S09047,L0217,E013,86.80421447753906
S09343,L0220,E013,70.78286743164062
