scene,listener,system,predicted
S08510,L0239,E001,27.288302779197693
S08529,L0216,E001,25.160369277000427
S08532,L0242,E001,22.616785764694214
S08537,L0229,E001,29.51241135597229
S08537,L0242,E001,25.92521905899048
S08540,L0206,E001,25.67298412322998
S08540,L0212,E001,27.950870990753174
S08554,L0218,E001,27.078676223754883
S08554,L0221,E001,32.077768445014954
S08555,L0216,E001,25.822514295578003
S08558,L0227,E001,29.135292768478394
S08561,L0239,E001,25.5445659160614
S08566,L0218,E001,24.65014010667801
S08574,L0206,E001,25.74669122695923
S08574,L0212,E001,26.57560706138611
S08575,L0240,E001,31.17428719997406
S08576,L0229,E001,31.14263415336609
S08578,L0224,E001,24.273133277893066
S08579,L0219,E001,26.712197065353394
S08579,L0225,E001,27.817246317863464
S08582,L0215,E001,26.295018196105957
S08594,L0225,E001,25.26734471321106
S08594,L0231,E001,25.566846132278442
S08600,L0227,E001,29.181259870529175
S08606,L0224,E001,26.21261477470398
S08614,L0218,E001,27.51634120941162
S08625,L0200,E001,27.50903069972992
S08627,L0219,E001,24.0378737449646
S08628,L0243,E001,27.101463079452515
S08636,L0243,E001,31.352978944778442
S08637,L0222,E001,28.202903270721436
S08644,L0219,E001,27.722156047821045
S08644,L0225,E001,29.46670651435852
S08645,L0240,E001,34.62011218070984
S08651,L0215,E001,24.598142504692078
S08652,L0219,E001,26.94329023361206
S08653,L0231,E001,24.97352659702301
S08658,L0239,E001,23.981034755706787
S08660,L0231,E001,30.598121881484985
S08682,L0217,E001,25.708389282226562
S08683,L0224,E001,27.50290036201477
S08685,L0240,E001,28.505122661590576
S08686,L0239,E001,23.468706011772156
S08689,L0239,E001,24.248214066028595
S08690,L0227,E001,33.161577582359314
S08702,L0201,E001,25.979381799697876
S08703,L0229,E001,28.004997968673706
S08707,L0215,E001,23.001015186309814
S08710,L0243,E001,29.939275979995728
S08723,L0201,E001,26.10582709312439
S08725,L0217,E001,25.847715139389038
S08727,L0224,E001,23.663832247257233
S08732,L0200,E001,25.516042113304138
S08732,L0240,E001,29.49976921081543
S08739,L0236,E001,27.329498529434204
S08742,L0229,E001,30.691730976104736
S08743,L0222,E001,26.848089694976807
S08745,L0218,E001,26.448145508766174
S08745,L0221,E001,31.232205033302307
S08750,L0222,E001,26.40697956085205
S08751,L0229,E001,27.484574913978577
S08752,L0209,E001,26.146551966667175
S08753,L0219,E001,27.251070737838745
S08753,L0225,E001,29.2696475982666
S08759,L0216,E001,25.73416233062744
S08765,L0201,E001,27.039241790771484
S08766,L0201,E001,23.057952523231506
S08767,L0206,E001,28.06698977947235
S08778,L0212,E001,27.388185262680054
S08778,L0221,E001,33.12368392944336
S08779,L0212,E001,24.801604449748993
S08779,L0221,E001,29.05791997909546
S08780,L0206,E001,26.98715329170227
S08780,L0212,E001,27.50503420829773
S08781,L0201,E001,26.06130540370941
S08782,L0243,E001,23.593610525131226
S08785,L0224,E001,23.533713817596436
S08790,L0240,E001,33.396488428115845
S08791,L0200,E001,27.795669436454773
S08791,L0240,E001,35.103803873062134
S08793,L0217,E001,24.9490424990654
S08794,L0216,E001,26.074767112731934
S08798,L0229,E001,26.417195796966553
S08800,L0243,E001,24.224165081977844
S08809,L0224,E001,27.78615951538086
S08816,L0215,E001,21.882954239845276
S08817,L0243,E001,21.933025121688843
S08818,L0227,E001,28.843778371810913
S08820,L0212,E001,28.120648860931396
S08820,L0221,E001,35.479480028152466
