tensor([[0.0131]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.9740, grad_fn=<DivBackward0>)
tensor([[1.2354]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.5147, grad_fn=<DivBackward0>)
tensor([[-0.1321]], grad_fn=<AddmmBackward0>) tensor([[0.1000]])
Average loss: tensor(0.3611, grad_fn=<DivBackward0>)
tensor([[0.1056]], grad_fn=<AddmmBackward0>) tensor([[0.1111]])
Average loss: tensor(0.2708, grad_fn=<DivBackward0>)
tensor([[0.1910]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.3476, grad_fn=<DivBackward0>)
tensor([[0.2257]], grad_fn=<AddmmBackward0>) tensor([[0.3000]])
Average loss: tensor(0.2906, grad_fn=<DivBackward0>)
tensor([[0.3816]], grad_fn=<AddmmBackward0>) tensor([[0.5714]])
Average loss: tensor(0.2542, grad_fn=<DivBackward0>)
tensor([[0.5730]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2452, grad_fn=<DivBackward0>)
tensor([[1.6188]], grad_fn=<AddmmBackward0>) tensor([[0.5000]])
Average loss: tensor(0.3570, grad_fn=<DivBackward0>)
tensor([[0.7423]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.3765, grad_fn=<DivBackward0>)
tensor([[0.3137]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.3851, grad_fn=<DivBackward0>)
tensor([[0.2327]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.4020, grad_fn=<DivBackward0>)
tensor([[0.2171]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.3747, grad_fn=<DivBackward0>)
tensor([[0.2151]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.3920, grad_fn=<DivBackward0>)
tensor([[0.2320]], grad_fn=<AddmmBackward0>) tensor([[0.7143]])
Average loss: tensor(0.3813, grad_fn=<DivBackward0>)
tensor([[0.2481]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.3928, grad_fn=<DivBackward0>)
tensor([[0.2751]], grad_fn=<AddmmBackward0>) tensor([[0.4000]])
Average loss: tensor(0.3706, grad_fn=<DivBackward0>)
tensor([[0.3003]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.3551, grad_fn=<DivBackward0>)
tensor([[0.3077]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.3616, grad_fn=<DivBackward0>)
tensor([[0.3364]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.3655, grad_fn=<DivBackward0>)
tensor([[0.3797]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.3550, grad_fn=<DivBackward0>)
tensor([[0.4080]], grad_fn=<AddmmBackward0>) tensor([[0.5556]])
Average loss: tensor(0.3399, grad_fn=<DivBackward0>)
tensor([[0.4199]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.3397, grad_fn=<DivBackward0>)
tensor([[0.4870]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.3365, grad_fn=<DivBackward0>)
tensor([[0.5310]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.3319, grad_fn=<DivBackward0>)
tensor([[0.6871]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.3229, grad_fn=<DivBackward0>)
tensor([[0.7569]], grad_fn=<AddmmBackward0>) tensor([[0.7778]])
Average loss: tensor(0.3109, grad_fn=<DivBackward0>)
tensor([[1.0446]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2999, grad_fn=<DivBackward0>)
tensor([[0.9073]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2898, grad_fn=<DivBackward0>)
tensor([[1.0450]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.3166, grad_fn=<DivBackward0>)
tensor([[1.0278]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.3064, grad_fn=<DivBackward0>)
tensor([[1.2752]], grad_fn=<AddmmBackward0>) tensor([[0.1250]])
Average loss: tensor(0.3382, grad_fn=<DivBackward0>)
tensor([[0.9317]], grad_fn=<AddmmBackward0>) tensor([[0.7000]])
Average loss: tensor(0.3295, grad_fn=<DivBackward0>)
tensor([[0.6664]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(0.3209, grad_fn=<DivBackward0>)
tensor([[0.5635]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.3208, grad_fn=<DivBackward0>)
tensor([[0.5456]], grad_fn=<AddmmBackward0>) tensor([[0.4286]])
Average loss: tensor(0.3123, grad_fn=<DivBackward0>)
tensor([[0.4985]], grad_fn=<AddmmBackward0>) tensor([[0.8750]])
Average loss: tensor(0.3077, grad_fn=<DivBackward0>)
tensor([[0.4822]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(0.3033, grad_fn=<DivBackward0>)
tensor([[0.4717]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(0.2993, grad_fn=<DivBackward0>)
tensor([[0.4681]], grad_fn=<AddmmBackward0>) tensor([[0.4000]])
Average loss: tensor(0.2919, grad_fn=<DivBackward0>)
tensor([[0.4644]], grad_fn=<AddmmBackward0>) tensor([[0.6250]])
Average loss: tensor(0.2855, grad_fn=<DivBackward0>)
tensor([[0.4628]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.2838, grad_fn=<DivBackward0>)
tensor([[0.4578]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2840, grad_fn=<DivBackward0>)
tensor([[0.4579]], grad_fn=<AddmmBackward0>) tensor([[0.2500]])
Average loss: tensor(0.2785, grad_fn=<DivBackward0>)
